team,o_rmean,o_rstd,o_pmean,o_pstd,o_tmean,o_tstd,o_kmean,o_kstd,d_rmean,d_rstd,d_pmean,d_pstd,d_tmean,d_tstd,d_kmean,d_kstd
LV,120,48.6826,277,85.1352,0.0074,0.0035,0.0058,0.003,122,54.2494,266,71.0563,0.0088,0.0023,0.0067,0.0048
MIN,140,59.0678,252,67.6905,0.0089,0.0025,0.003,0.0029,132,52.2303,262,73.3485,0.009,0.0039,0.0045,0.0043
TB,94,46.5725,297,96.2393,0.0088,0.0034,0.0044,0.003,79,37.4566,253,93.1289,0.0123,0.0093,0.0056,0.0048
ARI,136,51.9423,260,81.2773,0.008,0.0032,0.0041,0.0035,122,46.7868,236,97.9183,0.0087,0.0043,0.0042,0.0037
DEN,113,43.852,231,78.9747,0.006,0.0037,0.0055,0.0055,129,50.7346,244,78.3773,0.0078,0.0038,0.0038,0.0035
MIA,101,43.6807,236,89.4986,0.0083,0.004,0.006,0.0045,115,41.5933,258,91.3564,0.0063,0.0044,0.0052,0.006
NYJ,104,34.322,178,44.8888,0.005,0.0044,0.0059,0.0064,111,41.7971,280,71.5961,0.0062,0.0038,0.0046,0.0049
CLE,147,65.3529,224,75.3857,0.0081,0.0039,0.0039,0.0036,108,49.7092,261,104.7043,0.0088,0.004,0.0044,0.0035
NYG,88,47.1487,195,49.5782,0.0058,0.0035,0.0035,0.0038,111,52.792,241,73.8106,0.0058,0.0036,0.0037,0.0039
BAL,187,81.5169,172,53.4416,0.0089,0.0033,0.0046,0.0034,105,49.0408,221,91.444,0.0087,0.0043,0.0052,0.0041
CIN,100,49.8397,215,99.7146,0.0061,0.0037,0.0056,0.0043,139,88.1476,238,74.9266,0.0069,0.0035,0.0051,0.0043
HOU,89,32.6803,284,66.4229,0.0075,0.0025,0.005,0.003,156,62.458,262,75.306,0.0069,0.0019,0.0056,0.0029
CHI,98,49.7695,234,57.5934,0.0073,0.0042,0.0057,0.0041,109,34.9428,232,64.1171,0.007,0.0047,0.0069,0.005
IND,123,55.9553,260,60.349,0.0074,0.0034,0.0061,0.0043,88,48.2908,258,77.013,0.0076,0.0031,0.0071,0.0042
PIT,84,45.8148,258,61.6441,0.0086,0.0032,0.0032,0.0027,108,60.5062,204,53.2823,0.0094,0.004,0.0058,0.004
DAL,109,32.5883,265,117.6053,0.0064,0.0039,0.0066,0.0049,153,74.2563,229,63.0555,0.0089,0.0033,0.004,0.0038
WAS,100,49.689,225,88.5042,0.0066,0.0031,0.0066,0.0051,111,44.5421,202,75.921,0.0092,0.0061,0.0064,0.0044
SEA,119,41.9166,261,91.0934,0.0094,0.0039,0.0041,0.0032,86,42.3792,286,101.9264,0.0082,0.005,0.0056,0.0036
LA,125,40.7676,258,65.3299,0.0064,0.0032,0.0047,0.0025,91,34.0881,205,59.925,0.0092,0.01,0.0062,0.0041
CAR,107,34.9428,246,65.1997,0.007,0.004,0.0054,0.0037,119,48.0312,241,82.2496,0.0075,0.0046,0.0057,0.0042
TEN,164,64.0391,236,78.924,0.0095,0.0033,0.004,0.0038,117,52.2781,285,56.116,0.0083,0.0034,0.0034,0.0024
BUF,104,42.7668,291,86.908,0.0089,0.0038,0.0057,0.0051,119,60.1166,241,106.6396,0.0087,0.0052,0.0069,0.0097
KC,109,51.9615,305,83.9821,0.0084,0.0034,0.0042,0.0035,120,42.8836,249,88.9494,0.0098,0.0065,0.0043,0.0039
GB,131,57.5326,258,65.5286,0.0109,0.0024,0.0022,0.0024,113,38.5357,223,55.1271,0.0101,0.0041,0.004,0.0036
ATL,95,36.2905,273,62.6498,0.0068,0.0031,0.007,0.004,101,45.1885,299,73.1847,0.0073,0.0023,0.006,0.0045
NE,143,49.3964,193,94.6678,0.0064,0.0049,0.0053,0.0036,130,54.6992,231,62.7375,0.006,0.0035,0.004,0.0026
JAX,90,33.7046,243,69.1375,0.0064,0.0029,0.003,0.0032,150,57.2014,268,71.4003,0.0077,0.0031,0.0042,0.0031
SF,118,50.9117,262,57.2364,0.0077,0.0026,0.0039,0.0034,103,22.1359,214,72.0486,0.0089,0.0061,0.0063,0.0049
LAC,112,44.6766,275,58.1378,0.0077,0.0035,0.0041,0.0035,115,36.1248,232,89.7329,0.0086,0.0048,0.0044,0.0039
PHI,121,41.2674,213,68.9348,0.007,0.0022,0.0035,0.0024,124,41.7852,243,82.2679,0.0083,0.0025,0.0051,0.0039
DET,92,41.4367,259,74.6123,0.0074,0.0042,0.0024,0.0029,134,63.206,287,70.4628,0.0076,0.0038,0.0028,0.0035
NO,140,56.1961,236,70.3491,0.0098,0.0028,0.0048,0.0034,86,51.614,222,67.6018,0.0113,0.0117,0.0055,0.0045
